username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,mentioned_users,cleaned_text,sentences_tone,document_tones,sadness,tentative,analytical,joy,confident,fear,anger
wWzeIf,อย่ามายุ่งกะช้าน,n.a,1125,996,379695,2010-01-08 13:52:32,2020-06-22 02:33:20,1283,"NYC friends: My neighbor passed away due to covid-19 &amp; his two cats are in need of a new, loving home. Suzi (f, 11) &amp; Sammy (m, 8) are healthy, adorable kitties. It would be ideal for them to be adopted together. Please let me know if you're interested, or spread the word https://t.co/rsjTdaU6uX",[],[],nyc friend neighbor pass away due amp two cat need new love home suzi amp sammy healthy adorable kitty would ideal adopt together please let know interested spread word,,"[{'score': 0.683034, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,,1.0,,,
Baba_r1,"‏‏‏‏‏‏‏‏‏‏‏
‎‎‎‎‎‎‎‎‎‎‎‎‎#البدر 
‎‎‎‎‎‎‎‎‎#باغ ‎‎‎‎‎‎‎‎‎#کشمیر
https://t.co/fs0mnscggt‎",n.a,6843,6604,49320,2020-01-03 13:44:03,2020-06-22 03:39:51,2,"People offer funeral prayer for the mujahedeen Brothers
Who got  martyred in #Sirinager encounter.
That's funeral in Covid_19
We love our mujahedeen more than our lives
That's out love for mujahedeen.#Kashmir @JKBNM_official https://t.co/kNioLNLvFH",['sirinager'],['@JKBNM_official'],"people offer funeral prayer mujahedeen brothers
who get martyred encounter.
that's funeral love mujahedeen lives
that's love mujahedeen","[{'sentence_id': 0, 'text': 'people offer funeral prayer mujahedeen brothers', 'tones': [{'score': 0.870257, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'who get martyred encounter.', 'tones': []}, {'sentence_id': 2, 'text': ""that's funeral love mujahedeen lives"", 'tones': [{'score': 0.537518, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 3, 'text': ""that's love mujahedeen"", 'tones': [{'score': 0.991342, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]","[{'score': 0.711173, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",1.0,,,,,,
hadenusc,"born & rasied in southern california, now live in maui ! diehard usc trojan ! diehard dodger fan  !  rams fan ofcourse ! go kings too ! go lakers! all la !","maui, hi.  raised: calif",1535,690,17424,2013-01-13 04:07:17,2020-06-20 01:52:45,0,@BruceFeldmanCFB Oh 28 people got a strain of flu you can say. 98% recover. Do we talk about the millions who get the flu every year?. And the thousands who die every year of pneumonia and the flu? Covid is a virus. It does not kill 98% of people. It is all political now.,[],['@BruceFeldmanCFB'],oh people get strain flu say recover talk million get flu every year thousand die every year pneumonia flu covid virus kill people political,,"[{'score': 0.65702, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.80026, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,,,1.0,,
dawgmunn5950,"mixologist,sound engineer, nerd,lover of anime,#hudsta,,,,,ima king by blud but a soilder by nature....",n.a,1866,1380,18936,2009-07-31 12:25:08,2020-06-22 03:40:20,30,"COVID-19 Update: As at 21 June 2020, Zimbabwe had 489 confirmed cases, including 64 recoveries and six (6) deaths. https://t.co/pSQrJtA1Qm",[],[],update june zimbabwe confirm case include recovery six death,,"[{'score': 0.93534, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
Herupaabotto,"twitter bot that retweets puns every 10 minutes, made by @maxh94",n.a,2,346,43820,2014-04-23 12:54:12,2020-06-22 03:40:44,12,"""Drinking Responsibly"" - a tippler's perspective in COVID-19 era...

#cartoons #cartoon #coronavirus #humour #coronahumour #lockdown  #cartoonist #pun #anwertoons #satire #funny #art #socialhumour #toons #cartoonsketch #cartoonstrip #indianhumour #COVID19 #cartoonsallday https://t.co/Tqt4zbj6zD","['cartoons', 'cartoon', 'coronavirus', 'humour', 'coronahumour']",[],"drinking responsibly tippler's perspective era...

",,"[{'score': 0.640303, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,,1.0,,,
MrJoeONeill,"i'm just a husband, brother, uncle and friend to the very patient.",n.a,214,14,1191,2016-12-30 21:18:37,2020-06-22 02:10:48,336,"It’s June 21, and the Trump admin is still sitting on nearly $14 billion we fought to provide for testing &amp; tracing

And now he's admitted he directed officials to slow testing to keep case numbers low when there’s a spike in COVID-19 cases in many states!
https://t.co/OHN2IxZ7Rz",[],[],"it’s june trump admin still sit nearly billion fought provide test amp tracing

and he's admit directed official slow test keep case number low there’s spike case many states!
","[{'sentence_id': 0, 'text': 'it’s june trump admin still sit nearly billion fought provide test amp tracing', 'tones': [{'score': 0.716301, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': ""and he's admit directed official slow test keep case number low there’s spike case many states!"", 'tones': [{'score': 0.544275, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.592138, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]","[{'score': 0.573203, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",1.0,,,,,,
2savvii,"god, family & her 💯 ie 🤘🏼 la","dubai, united arab emirates",225,257,11265,2013-06-11 05:23:11,2020-06-22 03:41:05,0,Lol idk why niggas on twitter still be stirring up the boosipi lol ayyyeee go-shower ur corona virus! Lol tae😂,[],[],lol idk nigga twitter still stir boosipi lol ayyyeee go-shower ur corona virus lol tae,,"[{'score': 0.551903, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,,1.0,,,
oxymoron30,n.a,n.a,591,189,24474,2014-01-29 18:09:47,2020-06-20 03:17:35,37,"Have deep respect for Chinese. They preserved Yoga and Dhanurveda through Shaolin, Wudang, Kung Fu for ages. Am indebted to generations of Shifus who gifted me this. 
But I despise communists who destroyed this wonderful culture, gave virus to world, and are threat to humanity. https://t.co/caqJ6oaXld",[],[],"deep respect chinese preserve yoga dhanurveda shaolin wudang kung fu age indebted generation shifus gift 
but despise communists destroy wonderful culture give virus world threat humanity","[{'sentence_id': 0, 'text': 'deep respect chinese preserve yoga dhanurveda shaolin wudang kung fu age indebted generation shifus gift ', 'tones': [{'score': 0.784386, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'but despise communists destroy wonderful culture give virus world threat humanity', 'tones': []}]","[{'score': 0.717491, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,,1.0,,,
Anita_Eis,n.a,n.a,131,36,3008,2012-09-25 19:00:37,2020-06-21 02:43:12,0,@katierogers @nytimes @shearm @maggieNYT @AsteadWesley Questions about your headline.The mere mention of a Presidential Rally has cause the spread of the Chinese Virus or is it just any virus that Secret Service tested positive. Were the people familiar with that matter disclosing private medical info? Do you not like your President?,[],"['@katierogers', '@nytimes', '@shearm', '@maggieNYT', '@AsteadWesley']",question headline.the mere mention presidential rally cause spread chinese virus virus secret service test positive people familiar matter disclose private medical info like president,"[{'sentence_id': 0, 'text': 'question headline.the', 'tones': [{'score': 0.991736, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'mere mention presidential rally cause spread chinese virus virus secret service test positive people familiar matter disclose private medical info like president', 'tones': [{'score': 0.8152, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]","[{'score': 0.780034, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.974995, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,1.0,,
snmiyasaki,n.a,n.a,109,96,13288,2011-12-09 03:14:55,2020-06-22 02:33:51,727,Virologist Dr Stefan Lanka who won a court case over the non-existence of the ‘measles virus’ files charge against German ‘government virologist for Corona’ for crimes against humanity https://t.co/3Qa05TXz4a,[],[],virologist dr stefan lanka court case non-existence ‘measles virus’ file charge german ‘government virologist corona’ crime humanity,,[],,,,,,,
kinder_randy,beer    wwg1wga.....trump 2020  ..and 17,bc western ,4980,3514,37513,2019-09-07 20:39:32,2020-06-22 02:30:38,21,"I knew from the beginning Covid-19 was NOT deadly, it was only an ordinary flu. I knew also Deep State lied about the virus being deadly in order to scare people - because scared people are the easiest for Deep State to control.

Any of you feel the same way?",[],[],"knew begin deadly ordinary flu know also deep state lie virus deadly order scare people scar people easy deep state control.

any feel way","[{'sentence_id': 0, 'text': 'knew begin deadly ordinary flu know also deep state lie virus deadly order scare people scar people easy deep state control.', 'tones': [{'score': 0.874502, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.8152, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'any feel way', 'tones': [{'score': 0.998976, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]","[{'score': 0.861752, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.936899, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.925826, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,1.0,,,1.0,
chenereewa,🌎 traveller/explorer. i’m nothing if not opinionated. #resist #kumquatpolpot #orangutanking  #russianmobplant #traitortrumpconman #impotus4ever #joebiden2020,n.a,5028,4572,65233,2013-10-05 07:03:17,2020-06-23 01:08:57,75,"Experts are certain that a lack of widespread testing, variations in how cause of death is recorded, and the virus’ economic and social disruption are hiding the full extent of the pandemic’s death toll https://t.co/JbIMPeY8oF",[],[],expert certain lack widespread testing variation cause death record virus’ economic social disruption hide full extent pandemic’s death toll,,"[{'score': 0.705784, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
paulawest_,6w7,"chicago, il",250,251,20617,2016-04-03 07:16:09,2020-06-22 02:13:22,24541,Lack of taste is a symptom of covid-19 https://t.co/o2txxNFLn3,[],[],lack taste symptom,,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
tee_danja,i haven't done a lot of reading. but i do a lot of thinking.,n.a,323,573,162320,2009-07-02 01:45:12,2020-06-20 01:57:38,107,"10 weeks. That's how long it took me to fully recover from COVID and my symptoms were moderate. I would not wish this virus on my worst enemy. 

As more places begin to reopen and we socially distance less, please keep wearing your masks and taking the necessary precautions.",[],[],"week that's long take fully recover covid symptom moderate would wish virus bad enemy 

as place begin reopen socially distance less please keep wear mask take necessary precaution","[{'sentence_id': 0, 'text': ""week that's long take fully recover covid symptom moderate would wish virus bad enemy "", 'tones': [{'score': 0.524334, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'as place begin reopen socially distance less please keep wear mask take necessary precaution', 'tones': [{'score': 0.751512, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]","[{'score': 0.544107, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.890603, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,,,1.0,,
NormanGagnon3,n.a,n.a,2339,1179,65445,2017-11-02 17:41:24,2020-06-21 03:18:53,641,"Breaking News: Covid Virus extremely confused at #TrumpRallyFail. ""I'm really disappointed,"" said virus, ""we were going to spread it like warm butter tonight."" Virus adds, ""We'll work with what we got.""",['trumprallyfail'],[],break news covid virus extremely confused i'm really disappoint say virus go spread like warm butter tonight virus add we'll work get,,"[{'score': 0.654326, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",1.0,,,,,,
kickapru,it is what it is,"tulsa, ok",81,52,251,2016-07-02 02:25:10,2020-06-21 03:49:05,42673,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,,"[{'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,1.0,,1.0,,
herondalefray,n.a,"melbourne, australia",298,154,39384,2012-02-15 05:38:57,2020-06-22 01:36:10,37,BLM 👏 PROTESTS 👏 DIDN’T 👏 CAUSE 👏 MELBOURNE’S 👏 COVID-19 👏SPIKE 👏,[],[],blm protest didn’t cause melbourne’s spike,,"[{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
nevermore_007,"humanity ^ all. world affairs, politics & humor. respect 4all living beings #resist #healthcareforall #voteblue rt x endorsment -no 👉 magas/porn/dms",global citizen,24143,25415,276837,2011-01-09 19:57:42,2020-06-22 03:21:44,0,"12 states have set record highs in new COVID-19 cases since Friday

https://t.co/rY915aJgbd",[],[],"state set record highs new case since friday

",,"[{'score': 0.569697, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.825947, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,1.0,,,
katlorder,n.a,n.a,50,2,175,2012-04-13 01:11:06,2020-06-20 02:58:55,25272,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,,"[{'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,1.0,,
Countrylawyer99,"no generalization is completely true, including this one.",n.a,1534,1477,90634,2010-03-18 20:00:19,2020-06-22 02:11:18,27,"Veteran AP video, photo-journalist in Congo dies of COVID-19: https://t.co/OHrCTTTa9u",[],[],veteran ap video photo-journalist congo dy,,[],,,,,,,
Waveking817,living like it’s too lives,n.a,623,162,57844,2018-03-10 21:43:18,2020-06-22 01:22:15,23353,Lack of taste is a symptom of covid-19 https://t.co/o2txxNFLn3,[],[],lack taste symptom,,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
mary_e_warner,"writer, artist & pragmatic historian. check out https://t.co/isrqb51hjn, where i share observations on history, art, life.
views my own. she/her.",minnesota,348,716,17476,2008-09-28 03:11:46,2020-06-22 01:36:47,1,"How can we bypass the CDC, which is beholden to Trump, to get the testing needed for those who died earlier of symptoms indicative of COVID-19? https://t.co/a6oiFDyX27",[],[],bypass cdc beholden trump get test need die earlier symptom indicative,,"[{'score': 0.711575, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,1.0,,,,
chiusrs,@warrenantonio7 • 20 • 🇬🇺,🇵🇭,544,371,35909,2016-11-04 16:22:51,2020-06-22 01:21:48,79,"Nasa mahigit 30,000 na ang COVID-19 cases sa bansa. Realtalk: hindi ito dahil pasaway ang mga Pinoy. Given the proper safeguards &amp; correct measures, Filipinos will cooperate for our health &amp; safety.

What we need are effective &amp; intensified health measures that we...",[],[],"nasa mahigit na ang case sa bansa realtalk hindi ito dahil pasaway ang mga pinoy give proper safeguard amp correct measure filipinos cooperate health amp safety.

what need effective amp intensify health measure","[{'sentence_id': 0, 'text': 'nasa mahigit na ang case sa bansa realtalk hindi ito dahil pasaway ang mga pinoy give proper safeguard amp correct measure filipinos cooperate health amp safety.', 'tones': [{'score': 0.796903, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'what need effective amp intensify health measure', 'tones': [{'score': 0.698105, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.968931, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]","[{'score': 0.968135, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.840077, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,1.0,,1.0,,
shivakrishna_4,n.a,n.a,1789,65,1251,2020-03-08 17:55:03,2020-06-21 03:43:32,15,India is only country which is fighting with corona virus and the source of corona virus . 😊,[],[],india country fight corona virus source corona virus,,"[{'score': 0.509749, 'tone_id': 'fear', 'tone_name': 'Fear'}]",,,,,,1.0,
WriterMcCulloch,mother. professor. wife. writer. not always in that order...or any order at all. winner of general fiction novel of the year from @ ldspubandmedia,"logan, ut",1044,2035,8712,2016-09-08 15:10:57,2020-06-22 03:42:17,103,"Trump: Day 1,248 (THREAD)
-2,356,657 Cases of COVID-19 in US
-US CV19 Death Toll Rises to 122,247
-Furious Over Underwhelming Crowd
-Tulsa Rally Crowd Count Under 6.2K
-Economy Falls to 10th Spot in World
-Day 271 at Trump-owned Golf Club
-Day 369 at Trump-owned Property https://t.co/ruZjK5KSB8",[],[],"trump day case us
-us death toll rise underwhelming crowd
-tulsa rally crowd count fall spot world
-day trump-owned golf club
-day trump-owned property","[{'sentence_id': 0, 'text': 'trump day case us', 'tones': [{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': '-us death toll rise underwhelming crowd', 'tones': [{'score': 0.566849, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 2, 'text': '-tulsa rally crowd count fall spot world', 'tones': [{'score': 0.660937, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 3, 'text': '-day trump-owned golf club', 'tones': []}, {'sentence_id': 4, 'text': '-day trump-owned property', 'tones': [{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]","[{'score': 0.732942, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
TSimmon51137089,"politics:independent, religion:i know my redeemer lives! personality: adventurer, supporter, researcher/studier, problem solver, speaker upper, comic relief.","kula, hawaii ",255,14,646,2020-01-12 18:55:12,2020-06-22 03:40:35,0,"@CNNPolitics Dear Tik Tok Teens. Brilliant move on the not-much-of-a-rally rally. MOVING FORWARD: Work your magic by sneaking the truth about Trump to his cult worshippers, secure mail-in ballots so ALL AMERICANS have access to vote, &amp; of course, figure out a cure for COVID-19, okay thanks!",[],['@CNNPolitics'],dear tik tok teens brilliant move not-much-of-a-rally rally move forward work magic sneak truth trump cult worshipper secure mail-in ballot americans access vote amp course figure cure okay thanks,,"[{'score': 0.628036, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.651367, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,1.0,1.0,,
nhssabine,"#istandwithisrael, #2a, #1a. reagan conservative who wants more minorities, lgbtq in gop. #blexit, #jexit. support our president. i block bigots. no lists. ifbp",united states,9247,9603,138975,2010-03-20 19:57:32,2020-06-21 03:39:11,1797,"Why did the Washington Post all of a sudden remove the daily China Virus death tracker from its front page now that COVID deaths are decreasing nationwide?

I guess it just doesn’t fit their narrative anymore.

🤔",[],[],"washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?

i guess doesn’t fit narrative anymore.

🤔","[{'sentence_id': 0, 'text': 'washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?', 'tones': [{'score': 0.511428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'i guess doesn’t fit narrative anymore.', 'tones': [{'score': 0.640493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '🤔', 'tones': []}]","[{'score': 0.630541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",1.0,1.0,,,,,
WNCN,"cbs 17 | news, weather and more for raleigh, durham and fayetteville, north carolina",north carolina,1660,45297,136489,2007-03-29 17:21:02,2020-06-23 01:10:00,0,"While employees are required to stay home if they have the virus, currently restaurants are not required to let the employees or the public know if one of their employees tested positive for the virus.

 https://t.co/sElKUNbchB",[],[],"employee require stay home virus currently restaurant require let employee public know one employee test positive virus.

",,"[{'score': 0.866434, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.6821, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,1.0,,1.0,,
kaffiemabel_,exhale the bullshit,somewhere!,375,450,4032,2019-08-28 10:27:42,2020-06-22 01:40:22,314,"Ayooooo my dad beat covid-19!!! 😭❤️❤️❤️ 
Happy Father’s Day to him😭❤️❤️❤️❤️❤️❤️❤️",[],[],"ayooooo dad beat 
happy father’s day","[{'sentence_id': 0, 'text': 'ayooooo dad beat ', 'tones': [{'score': 0.509674, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'happy father’s day', 'tones': [{'score': 0.908087, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]","[{'score': 0.815309, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,,1.0,,,
