index,username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,mentioned_users,cleaned_text,sentences_tone,document_tones,analytical,fear,sadness,anger,confident,tentative,joy
14,konrad44,n.a,dream within a dream ,99,204,8595,2009-09-27 21:09:15,2020-06-23 01:09:53,40514,The reason why America isn’t recovering from COVID-19 as quickly as other countries is because we are a country that values individualism over collectivism. Nobody here wants to do anything that is a minor inconvenience to them in order to protect their neighbors.,[],[],reason america isn’t recover quickly country country value individualism collectivism nobody want anything minor inconvenience order protect neighbor,,"[{'score': 0.769135, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",1.0,,,,,1.0,
15,lisamacedo26,n.a,n.a,32,36,35,2019-09-29 10:56:15,2020-06-22 03:22:18,232,"#Coronavirus | Glenmark Pharmaceuticals Limited has announced the introduction of Favipiravir under the brand name FabiFlu in tablet form for the treatment of mild &amp; moderate #COVID19 cases in India. 
https://t.co/BhxIgmpwAC",['coronavirus'],[],glenmark pharmaceutical limit announced introduction favipiravir brand name fabiflu tablet form treatment mild amp moderate case india,,[],,,,,,,
16,okbutbacon,n.a,"miami, fl",291,238,36694,2016-03-26 02:11:40,2020-06-22 01:18:51,2531,Ngl COVID-19 bout to choke slam the fck out of Florida.,[],[],ngl bout choke slam fck florida,,[],,,,,,,
17,kaist455,a diabolically lazy south korean guy with phd in biological science. 🏳️‍🌈 an unfathomably devious far-flung correspondent at https://t.co/0jnomxjrem.,south korea,350,1109,289146,2010-05-14 02:58:31,2020-06-21 03:46:24,10487,6 members of Trump's Tulsa advance staff have tested positive for COVID-19. Each may have infected hundreds with the virus already.,[],[],member trump's tulsa advance staff test positive may infect hundred virus already,,[],,,,,,,
18,_jarretthsieh,i workout to eat & eat to workout,case western '20,478,500,7672,2013-07-27 01:23:10,2020-06-22 02:34:35,11739,MAJOR BREAKING NEWS: Trump Reveals He Ordered Federal Officials to Slow COVID-19 Testing to Make U.S. Coronavirus Numbers Look Better; Experts in Trump Administration Had Previously Told Trump That Testing Saves American Lives,[],[],major break news trump reveals order federal official slow test make u.s coronavirus number look good expert trump administration previously tell trump test save american life,,"[{'score': 0.528469, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,1.0,,,,
19,bigmfjelly,"memphis, memphis",on the road to riches ,218,213,13291,2010-03-05 22:04:57,2020-06-22 02:11:57,24572,Lack of taste is a symptom of covid-19 https://t.co/o2txxNFLn3,[],[],lack taste symptom,,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
20,NirenMalla,#forex #b2b #forexmarket #forextrading #tech #peoplepower #fintech #innovation lost in this world; well trying to find myself. #growthstrategies #startup,"dehradun, india",165,129,1530,2016-03-09 19:55:39,2020-06-22 03:19:29,4,"Burden of COVID-19 on the Market &amp; Rehabilitation Plan| Digital Transformation Market 2020-2024 | Focus on Offering Omnichannel 

READ MORE: https://t.co/Ob0sdCsW3k

#BigData #blockchain #business #CIO #Cloud #CMO #ContentMarketing #data #DigitalMarketing #Digitization* https://t.co/gxQBb5LP0m",[],[],"burden market amp rehabilitation plan digital transformation market focus offer omnichannel 

read 

","[{'sentence_id': 0, 'text': 'burden market amp rehabilitation plan digital transformation market focus offer omnichannel ', 'tones': [{'score': 0.552555, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'read', 'tones': []}]","[{'score': 0.522747, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.802429, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,1.0,,,,
21,lot3708,n.a,"orlando, fl",848,109,6067,2009-07-10 13:08:20,2020-06-22 02:32:31,277,"Trump making light of testing and children testing positive. 121,000 dead Americans from COVID-19. This is despicable. https://t.co/esx9MKPG0B",[],[],trump make light test child test positive dead american despicable,,"[{'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,,1.0,,
22,Bellala0824,:)),"quezon city, national capital ",886,1097,6918,2018-11-18 09:31:29,2020-06-22 02:33:38,3082,"Dear Sec Año, there'd be no COVID-19 surge if January pa lang:

🔸 Gov't took the threat seriously 
🔸 Gov't conducted mass testing and contact tracing 
🔸 Gov't restricted flights especially from China 

Filipinos are cooperative. Gov't is incompetent.
https://t.co/m3gvpY1MwP",[],[],"dear sec año there'd surge january pa lang:

 gov't take threat seriously gov't conduct mass test contact trace gov't restrict flight especially china 

filipinos cooperative gov't incompetent.
","[{'sentence_id': 0, 'text': ""dear sec año there'd surge january pa lang:"", 'tones': []}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': "" gov't take threat seriously gov't conduct mass test contact trace gov't restrict flight especially china "", 'tones': [{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 3, 'text': '', 'tones': []}, {'sentence_id': 4, 'text': ""filipinos cooperative gov't incompetent."", 'tones': []}]","[{'score': 0.612767, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.761642, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,,,1.0,,
23,Jondoe81153788,"i am not politically correct!

apenas hablo español

#blm made me racist

@jack is an asshole... no, he is two assholes",cze/aut/ven,97,47,1121,2020-05-06 19:43:55,2020-06-21 02:22:41,0,"@weijia Chinese Virus
Can't stand it? Go back to Xi",[],['@weijia'],"chinese virus
can't stand go back xi","[{'sentence_id': 0, 'text': 'chinese virus', 'tones': []}, {'sentence_id': 1, 'text': ""can't stand go back xi"", 'tones': []}]",[],,,,,,,
24,grannygluski,lurking from the swamp,n.a,87,19,4960,2020-04-20 01:45:08,2020-06-20 01:58:43,48,Experts say it's society's collective actions rather than the virus itself that may determine whether the virus becomes more or less dangerous. https://t.co/uaIJ34h6yX,[],[],expert say society's collective action rather virus may determine whether virus become less dangerous,,"[{'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,,,1.0,
25,jellybean_nessa,manifest a better world! ❤️✌🏼,n.a,447,4087,75606,2016-03-04 19:56:26,2020-06-21 03:21:37,291,if the coronavirus is the chinese virus guess obesity and racism is the american virus,[],[],coronavirus chinese virus guess obesity racism american virus,,"[{'score': 0.501485, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,,,1.0,
26,ericohmusic,"all things music and more

https://t.co/imkxxxvma9",n.a,480,89,324,2019-07-26 00:46:26,2020-06-20 01:54:50,125,"As number of people tested passes 30,000 mark, another person has died from COVID-19. The death comes as 109 other residents tested positive for the virus bringing total number of known cases to 1,556.
 
Death involved a Pharr man in his 80s with underlying medical conditions. https://t.co/ngyeQ7piqu",[],[],"number people tested pass mark another person die death come resident test positive virus bring total number know case 
death involve pharr man underlie medical condition","[{'sentence_id': 0, 'text': 'number people tested pass mark another person die death come resident test positive virus bring total number know case ', 'tones': [{'score': 0.639801, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.657939, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.807868, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'death involve pharr man underlie medical condition', 'tones': []}]","[{'score': 0.662421, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.77494, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.952663, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,1.0,,1.0,,
27,FokikoW,wannabe writer,"long beach, ca",758,18,3639,2018-11-10 14:44:34,2020-06-22 02:14:11,1043,"A cluster of mysterious deaths, some involving infants and children, is under scrutiny amid questions of whether the novel coronavirus lurked in California months before it was first detected. https://t.co/nYZ8ayT9fx",[],[],cluster mysterious death involve infant child scrutiny amid question whether novel coronavirus lurk california month first detect,,"[{'score': 0.834759, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
28,macaronchaos,mac | she/her | 20 | this was meant for be a place for me to post art but somehow here we are,n.a,76,7,1589,2019-05-01 03:19:20,2020-06-23 01:09:56,40452,The reason why America isn’t recovering from COVID-19 as quickly as other countries is because we are a country that values individualism over collectivism. Nobody here wants to do anything that is a minor inconvenience to them in order to protect their neighbors.,[],[],reason america isn’t recover quickly country country value individualism collectivism nobody want anything minor inconvenience order protect neighbor,,"[{'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.769135, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,1.0,
29,PaulDRamone,standing by a parking meter when i caught a glimpse of rita filling in a ticket in her little white book ❤️,united states,6051,5693,457318,2013-04-11 09:59:24,2020-06-22 01:38:05,58,More people are dying of COVID-19 because Donald Trump intentionally slowed down testing.,[],[],people die donald trump intentionally slow test,,"[{'score': 0.782616, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,1.0,,,,
30,anneldall,n.a,n.a,126,31,6543,2014-04-20 10:44:18,2020-06-21 03:41:08,155,We have been told incessantly that no need to worry about Covid and schools. Take a look at recent resurgence of virus in Israel,[],[],tell incessantly need worry covid school take look recent resurgence virus israel,,"[{'score': 0.540441, 'tone_id': 'fear', 'tone_name': 'Fear'}]",,1.0,,,,,
31,philoso_foster,"philosophy phd student. cat mom to eddy, eliot, & rho (“the boyos”). interested in stereotype deployment in political reasoning/conflict. she/her. 💖💜💙",wvu ➡️ usc,674,3721,12341,2011-06-22 02:46:13,2020-06-22 03:20:39,42298,"Trump had a bad night in Tulsa. Very low turnout. Even his supporters know that COVID-19 is real and dangerous, and should not be spread at an indoor rally. More importantly, maybe people are catching on that he is a pathological liar and a fraud. Let's keep fighting.",[],[],trump bad night tulsa low turnout even supporter know real dangerous spread indoor rally importantly maybe people catch pathological liar fraud let's keep fighting,,"[{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,,,1.0,
32,SportsfanThomas,n.a,n.a,338,758,233969,2015-05-29 19:40:38,2020-06-21 03:19:29,91,"Trump calls it ""The Chinese Virus.""

LOVE THIS GUY",[],[],"trump call chinese virus.""

love guy","[{'sentence_id': 0, 'text': 'trump call chinese virus.""', 'tones': []}, {'sentence_id': 1, 'text': 'love guy', 'tones': [{'score': 0.888702, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]","[{'score': 0.755988, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,,,,,1.0
33,ditaoxha,الله tosi 12.05.12 ❤️🇦🇱,n.a,160,221,3886,2012-12-30 05:17:58,2020-06-22 02:12:51,178049,"A little wake up call for all of you not wearing masks:

My cousin checked into the hospital Tuesday morning for body aches and chills. They tested her for COVID-19 and her results came back positive. She died yesterday morning around 4 a.m. of kidney failure. She was 23.",[],[],"little wake call wear masks:

my cousin check hospital tuesday morning body ache chill test result come back positive die yesterday morning around a.m kidney failure","[{'sentence_id': 0, 'text': 'little wake call wear masks:', 'tones': [{'score': 0.511502, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'my cousin check hospital tuesday morning body ache chill test result come back positive die yesterday morning around a.m kidney failure', 'tones': [{'score': 0.540835, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]","[{'score': 0.643185, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.761262, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,1.0,,,,
34,nickeliscu,emo bird & singer-songwriter https://t.co/n3wpdtavyc,"new york, ny",102,400,13159,2011-03-11 05:21:25,2020-06-23 01:28:23,27425,"Black Lives Matter. 
COVID-19 still exists. 
Arrest the cops who murdered Breonna Taylor. 
Defund the police. 
Fund community org &amp; education.
Find Vanessa Guillén. 
Justice for Oluwatoyin Salau. 
Hold pedophiles &amp; rapists accountable. 

Thanks for coming to my TED talk.",[],[],"black live matter still exist 
arrest cop murder breonna taylor 
defund police 
fund community org amp education.
find vanessa guillén 
justice oluwatoyin salau 
hold pedophile amp rapist accountable 

thanks come ted talk","[{'sentence_id': 0, 'text': 'black live matter still exist ', 'tones': []}, {'sentence_id': 1, 'text': 'arrest cop murder breonna taylor ', 'tones': []}, {'sentence_id': 2, 'text': 'defund police ', 'tones': []}, {'sentence_id': 3, 'text': 'fund community org amp education.', 'tones': []}, {'sentence_id': 4, 'text': 'find vanessa guillén ', 'tones': [{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 5, 'text': 'justice oluwatoyin salau ', 'tones': [{'score': 0.622945, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 6, 'text': 'hold pedophile amp rapist accountable ', 'tones': [{'score': 0.600355, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, {'sentence_id': 7, 'text': '', 'tones': []}, {'sentence_id': 8, 'text': 'thanks come ted talk', 'tones': []}]",[],,,,,,,
35,emilymelle_,pharmacy school student • fire emblem - chrom fan • pokémon - bulbasaur #1 starter • animal crossing - lucy stan • blm and lgtbq+ rights,united states,444,103,4630,2017-03-19 21:24:56,2020-06-23 01:27:32,45866,The reason why America isn’t recovering from COVID-19 as quickly as other countries is because we are a country that values individualism over collectivism. Nobody here wants to do anything that is a minor inconvenience to them in order to protect their neighbors.,[],[],reason america isn’t recover quickly country country value individualism collectivism nobody want anything minor inconvenience order protect neighbor,,"[{'score': 0.769135, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",1.0,,,,,1.0,
36,cutebrute202,"beefcake. connecticut expat. thoughts tank. russia, scandinavia, the baltic, and the arctic. 🇺🇸us. 🇮🇪ireland.🏳️‍🌈gay stuff. 🏋🏼‍♂️ stuff. ❤️🇺🇦🇬🇪🇹🇼","washington, dc",4080,493,100758,2013-06-30 12:28:55,2020-06-22 03:41:17,4,"Indeed, I think the only way I could, as a liberal, be more owned is if Donald Trump were to permanently inoculate himself from COVID-19 by washing down 30 tablets of hydroxychloroquine with a liter of Clorox",[],[],indeed think way could liberal own donald trump permanently inoculate wash tablet hydroxychloroquine liter clorox,,"[{'score': 0.72085, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
37,ChasityLane1980,"believer in jesus christ as my savior, wife, mom, trump supporter, small town gal from tennessee!","tennessee, usa",329,176,1687,2017-01-20 02:22:27,2020-06-22 02:13:48,654,"These Governors are complicit in premeditated murder for [knowingly] sending #CoronaVirus/#COVID patients to nursing homes

✔️ #AndrewCuomo New York
✔️ #GretchenWhitmer Michigan
✔️ #GavinNewsom California
✔️ #PhilMurphy New Jersey
✔️ #TomWolf Pennsylvania
✔️ #JayInslee Washington","['coronavirus', 'covid']",[],"governor complicit premeditate murder knowingly send patient nurse homes

 new york
 michigan
 california
 new jersey
 pennsylvania
 washington","[{'sentence_id': 0, 'text': 'governor complicit premeditate murder knowingly send patient nurse homes', 'tones': []}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': ' new york', 'tones': []}, {'sentence_id': 3, 'text': ' michigan', 'tones': []}, {'sentence_id': 4, 'text': ' california', 'tones': []}, {'sentence_id': 5, 'text': ' new jersey', 'tones': []}, {'sentence_id': 6, 'text': ' pennsylvania', 'tones': []}, {'sentence_id': 7, 'text': ' washington', 'tones': []}]",[],,,,,,,
38,John_Scotus,writer. iconoclast. american abroad. a member of the radical center. #nevertrump,n.a,25447,24739,180550,2009-06-05 05:51:11,2020-06-22 03:42:08,176,"On the other extreme are potential super-spreading events — anywhere many people are confined indoors, especially if there’s close contact. 

Trump’s rally is a good example. There, common sense would dictate that such events should not take place at all https://t.co/896Mki5Xuj https://t.co/eJf2HD7k2o",[],[],"extreme potential super-spreading event anywhere many people confine indoors especially there’s close contact 

trump’s rally good example common sense would dictate event take place","[{'sentence_id': 0, 'text': 'extreme potential super-spreading event anywhere many people confine indoors especially there’s close contact ', 'tones': [{'score': 0.589295, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.716301, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'trump’s rally good example common sense would dictate event take place', 'tones': [{'score': 0.959869, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]","[{'score': 0.968875, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.874805, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",1.0,,,,,1.0,
39,milrod_leslie,"patient advocate, mental health and managed care advocacy; corporate lawyer; financial services, regulatory compliance and project management experience",toronto ontario,313,86,2473,2017-03-22 21:59:22,2020-06-23 01:28:41,16,"""A recent paper on the experience of 26 nursing homes in the Netherlands that allowed residents to have a designated visitor wearing PPE found no new COVID-19 infections in the three weeks after visits resumed."" Let's use these learnings to help reintegrate caregivers ❤️ https://t.co/YUGsnj79Bb",[],[],recent paper experience nursing home netherlands allowed resident designate visitor wear ppe find new infection three week visit resume let's use learning help reintegrate caregiver,,"[{'score': 0.85496, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
