level_0,index,username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,mentioned_users,cleaned_text,document_tone,sentences_tone
10,1011,sabeela19,n.a,"ocoee, fl",257,114,10799,2016-01-20 22:26:19,2020-06-22 02:11:58,28750,"Kentucky has used Covid-19 as an excuse to slash polling places for Tuesday’s vital primary to defeat #MitchMcConnell. There were 3500+. Now, there are 200. 

Jefferson County, where half the Black voters are, will have 1 polling place for 610,000+ voters.
https://t.co/mTJT1dSVP9",['mitchmcconnell'],[],"kentucky use excuse slash polling place tuesday’s vital primary defeat 

jefferson county half black voter poll place voters.
",{'tones': []},"[{'sentence_id': 0, 'text': 'kentucky use excuse slash polling place tuesday’s vital primary defeat ', 'tones': []}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'jefferson county half black voter poll place voters.', 'tones': []}]"
11,1012,rwpollex,"christian,anti-extremism,analysis driven,engineer+trie-mba, father+advocate for meek, product of teachers & farming-family heritage #wearewhatandwhowefocuson","john15:5,james4:17 -xgen in wi",1836,466,58188,2010-09-10 00:42:57,2020-06-22 03:24:13,0,"@SykesCharlie Funny how the campaign got ‘punked’ by registering Millions of tickets...then only 6500 show up

It’s actually a Public Service they did
...to try and minimize a Super-spike of COVID-19

I’d like to say Thank You to them",[],['@SykesCharlie'],"funny campaign get ‘punked’ register million tickets...then show up

it’s actually public service did
...to try minimize super-spike like say thank","{'tones': [{'score': 0.717306, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.551743, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}","[{'sentence_id': 0, 'text': 'funny campaign get ‘punked’ register million tickets...then show up', 'tones': [{'score': 0.594755, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'it’s actually public service did', 'tones': [{'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 3, 'text': '...to try minimize super-spike like say thank', 'tones': [{'score': 0.682876, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.91961, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]"
12,1013,AngryLeftOkie,"leftist, mei main, druid main, internet spaceship pilot since 2009, does not play well with centrist democraps.","california, usa",2967,2679,124228,2009-11-30 22:43:23,2020-06-21 03:41:55,20,"120,000 Americans have died from COVID-19 

At least 84,000 of these deaths could have been prevented if we had acted as quickly as Germany, Australia, South Korea and Singapore to prevent the spread of this deadly virus 

This is the mind of a criminal  

https://t.co/KNQEDt5tgf https://t.co/Nu0ah86zh5",[],[],"american die 

at least death could prevent acted quickly germany australia south korea singapore prevent spread deadly virus 

this mind criminal 

","{'tones': [{'score': 0.676497, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': 'american die ', 'tones': [{'score': 0.818175, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'at least death could prevent acted quickly germany australia south korea singapore prevent spread deadly virus ', 'tones': [{'score': 0.507532, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.565966, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 3, 'text': '', 'tones': []}, {'sentence_id': 4, 'text': 'this mind criminal', 'tones': []}]"
13,1014,isolatedsystem,i measure personal success by how many pages i mark as read on goodreads. booktube: #fortheloveofclassics instagram: @instareesha,pakistan,62,253,21196,2011-08-07 21:29:35,2020-06-23 01:28:05,7,"Guidelines issued as #UAE readies to open schools and unis in September. 
Daily temp checks for students, reducing number of students in class, no meal sharing allowed among others SOPs to be followed. 

#Covid_19 https://t.co/kQqZ6QufDN",['uae'],[],"guideline issue ready open school unis september 
daily temp check student reduce number student class meal share allow among others sop follow 

","{'tones': [{'score': 0.547052, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.924432, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}","[{'sentence_id': 0, 'text': 'guideline issue ready open school unis september ', 'tones': [{'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'daily temp check student reduce number student class meal share allow among others sop follow', 'tones': [{'score': 0.627251, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.781949, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]"
14,1015,chlloec_,n.a,ri,77,209,1901,2014-07-11 12:58:10,2020-06-21 02:36:02,42509,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,"{'tones': [{'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
15,1016,originaljazmin,home owner🔑apply for financing 🏘👣 buying & selling properties 🏚 any condition (link in bio ) #respectthegame,playn my part,1607,1889,40997,2011-11-21 02:11:54,2020-06-20 03:00:33,25,"Corona virus tried to hold America down, But look at us, Still living &amp; enjoying life.! SUMMER HERE WE COME BITCH",[],[],corona virus try hold america look still live amp enjoy life summer come bitch,"{'tones': [{'score': 0.675805, 'tone_id': 'joy', 'tone_name': 'Joy'}]}",
16,1017,katherinehues,n.a,"massachusetts, usa",19,5,15,2018-09-03 23:37:40,2020-06-22 02:33:36,178084,"A little wake up call for all of you not wearing masks:

My cousin checked into the hospital Tuesday morning for body aches and chills. They tested her for COVID-19 and her results came back positive. She died yesterday morning around 4 a.m. of kidney failure. She was 23.",[],[],"little wake call wear masks:

my cousin check hospital tuesday morning body ache chill test result come back positive die yesterday morning around a.m kidney failure","{'tones': [{'score': 0.643185, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.761262, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}","[{'sentence_id': 0, 'text': 'little wake call wear masks:', 'tones': [{'score': 0.511502, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'my cousin check hospital tuesday morning body ache chill test result come back positive die yesterday morning around a.m kidney failure', 'tones': [{'score': 0.540835, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]"
17,1018,Pointbreak151,n.a,n.a,114,5,198,2019-03-17 15:40:47,2020-06-20 01:57:52,653,Trump's Tulsa rally should be called the COVID-19 rally because it will boost the virus more than Trump.,[],[],trump's tulsa rally call rally boost virus trump,{'tones': []},
18,1019,Reyes_Sergio_,n.a,"coachella, ca",238,250,1647,2015-12-12 18:13:10,2020-06-23 01:09:10,5710,"States: *go into phase 4*

COVID-19 spreading from person to person: https://t.co/cLV6kOrVad",[],[],state go phase spread person person,"{'tones': [{'score': 0.715667, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
19,1020,acuteplant,"‘,:)",n.a,513,250,2209,2012-03-31 04:24:37,2020-06-23 01:07:34,41297,The reason why America isn’t recovering from COVID-19 as quickly as other countries is because we are a country that values individualism over collectivism. Nobody here wants to do anything that is a minor inconvenience to them in order to protect their neighbors.,[],[],reason america isn’t recover quickly country country value individualism collectivism nobody want anything minor inconvenience order protect neighbor,"{'tones': [{'score': 0.769135, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}",
20,1021,hoodrmg,#blacklivesmatter #notmypresident #ally 🏳️‍🌈 #impeachthemf,n.a,1849,1678,24405,2016-12-29 22:57:17,2020-06-21 04:04:14,10706,6 members of Trump's Tulsa advance staff have tested positive for COVID-19. Each may have infected hundreds with the virus already.,[],[],member trump's tulsa advance staff test positive may infect hundred virus already,{'tones': []},
21,1022,evance016,n.a,n.a,33,17,208,2014-09-22 21:36:23,2020-06-21 02:41:57,114,More hang American flags than tear them down.There are more good cops than bad. There are more negative tests than positive corona virus tests. More people want to unite than divide. More want to acknowledge injustice than ignore. We are better than some want you to believe.,[],[],hang american flag tear down.there good cop bad negative test positive corona virus test people want unite divide want acknowledge injustice ignore well want believe,"{'tones': [{'score': 0.648089, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.940365, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': 'hang american flag tear down.there', 'tones': [{'score': 0.551608, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'good cop bad negative test positive corona virus test people want unite divide want acknowledge injustice ignore well want believe', 'tones': [{'score': 0.578853, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.752368, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]"
22,1023,AxalAnime,"you can call me a sports,anime and video game lover",kingdom hearts,4,0,113,2018-12-14 03:58:27,2020-06-20 03:16:08,195,"The second COVID turns into a Zombie virus, just fold me immediately. I'm good. I'm not going through that.",[],[],second covid turn zombie virus fold immediately i'm good i'm go,{'tones': []},
23,1024,FatherGoated,whoever is reading this fuck you,n.a,44,14,1360,2020-01-28 20:41:37,2020-06-23 01:27:04,46084,The reason why America isn’t recovering from COVID-19 as quickly as other countries is because we are a country that values individualism over collectivism. Nobody here wants to do anything that is a minor inconvenience to them in order to protect their neighbors.,[],[],reason america isn’t recover quickly country country value individualism collectivism nobody want anything minor inconvenience order protect neighbor,"{'tones': [{'score': 0.769135, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}",
24,1025,SimplyHSithole,wits film and television student. ig: https://t.co/tm6a5wjwjl,"johannesburg, south africa",240,516,8865,2018-06-13 16:17:48,2020-06-23 01:10:06,42,For all those who have fallen because of the corona virus. Rest in peace. 🕊,[],[],fall corona virus rest peace,"{'tones': [{'score': 0.760151, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}",
25,1026,almightychai,ig @chxitwn,n.a,2372,1434,27099,2016-11-05 18:48:33,2020-06-22 03:19:26,184,niggas talmbout parties n im looking at these new COVID-19 cases like https://t.co/EbkBMoxpZn,[],[],nigga talmbout party im look new case like,{'tones': []},
26,1027,fabucat,"#m4all socialist, cat waitress, caregiver, attorney, punk & raver, #blm #palestine ""daughter & heir of a shyness that is criminally vulgar.""",md suburbs of dc.,13758,12536,289474,2007-11-11 23:38:29,2020-06-23 01:09:01,3325,"JUST IN: Texas Gov. Greg Abbott says in the past few days, we have averaged more than 3,500 new cases a day and our positivity rate has gone to more than 9 percent now. ""To state the obvious, COVID-19 is now spreading at an unacceptable rate in Texas,"" Abbott says.",[],[],texas gov greg abbott say past day average new case day positivity rate go percent state obvious spread unacceptable rate texas abbott say,"{'tones': [{'score': 0.524862, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.838571, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.729999, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
27,1028,niyaamonet,baylor ‘24,"austin, tx",465,556,5849,2016-02-09 03:15:30,2020-06-20 03:16:05,25964,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,"{'tones': [{'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}]}",
28,1029,YoginiWriter,"reflective writer. mfa goddard. author, editor, poet, adoptee & adopter. artist, activist, multi-cultural family. river walker. yogini. crone. witch.","washington, usa",5539,5234,89405,2009-08-25 19:42:19,2020-06-21 02:18:03,9812,6 members of Trump's Tulsa advance staff have tested positive for COVID-19. Each may have infected hundreds with the virus already.,[],[],member trump's tulsa advance staff test positive may infect hundred virus already,{'tones': []},
29,1030,SajinguKage,n.a,"california, usa",153,29,286,2017-02-08 07:42:37,2020-06-20 01:52:48,22901,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,"{'tones': [{'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
30,1031,Nancylynn1010,i juggle watching 4 grands with a work from home job. keeps me out of trouble.,"yorktown, va",979,596,26308,2017-01-24 17:43:37,2020-06-22 02:11:35,670,"These Governors are complicit in premeditated murder for [knowingly] sending #CoronaVirus/#COVID patients to nursing homes

✔️ #AndrewCuomo New York
✔️ #GretchenWhitmer Michigan
✔️ #GavinNewsom California
✔️ #PhilMurphy New Jersey
✔️ #TomWolf Pennsylvania
✔️ #JayInslee Washington","['coronavirus', 'covid']",[],"governor complicit premeditate murder knowingly send patient nurse homes

 new york
 michigan
 california
 new jersey
 pennsylvania
 washington",{'tones': []},"[{'sentence_id': 0, 'text': 'governor complicit premeditate murder knowingly send patient nurse homes', 'tones': []}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': ' new york', 'tones': []}, {'sentence_id': 3, 'text': ' michigan', 'tones': []}, {'sentence_id': 4, 'text': ' california', 'tones': []}, {'sentence_id': 5, 'text': ' new jersey', 'tones': []}, {'sentence_id': 6, 'text': ' pennsylvania', 'tones': []}, {'sentence_id': 7, 'text': ' washington', 'tones': []}]"
31,1032,crmart_99,"es hoy, es ahora, es hora de un cambio.",n.a,241,89,482,2012-08-29 01:08:37,2020-06-20 01:53:46,22893,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,"{'tones': [{'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}]}",
32,1033,h4eadsupporter,n.a,"illinois, usa",21,117,3098,2019-03-15 16:26:02,2020-06-23 01:27:54,87,As we plan for recovery from the COVID-19 crisis let's focus on common sense and fair immigration policies. H-1B workers should be treated with respect and dignity. They generate real innovation and growth  . . . benefiting us all and fueling the U.S. economy.,[],[],plan recovery crisis let's focus common sense fair immigration policy worker treat respect dignity generate real innovation growth benefit fuel u.s economy,"{'tones': [{'score': 0.778549, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
33,1034,Quest4InformOps,"attorney, yogi, genxer, #proudpatriot #unitedwestand #trump2020nowmorethanever #trumpiscrushingit #kag2020 #maga #trump2020 #trumpacquitted4ever",n.a,7847,7469,38876,2019-09-12 06:13:47,2020-06-20 02:58:04,1132,"COVID FACTS
The virus can travel 6' it cannot go beyond 6'1, it can live on all surfaces except anything from Amazon, it does not live in Walmart, Home Depot, or any grocery store, it's only deadly in small businesses, churches &amp; Trump rallies, but it cannot harm you protesting",[],[],"covid facts
the virus travel cannot go beyond live surface except anything amazon live walmart home depot grocery store deadly small business church amp trump rally cannot harm protesting","{'tones': [{'score': 0.86591, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}","[{'sentence_id': 0, 'text': 'covid facts', 'tones': [{'score': 0.997482, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.996934, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'the virus travel cannot go beyond live surface except anything amazon live walmart home depot grocery store deadly small business church amp trump rally cannot harm protesting', 'tones': []}]"
34,1035,VikkiColvin,🌵az to 🗽ny | i’m that girl in spin class going the wrong way.,"new york, ny",1630,147,1019,2009-04-18 06:47:07,2020-06-22 03:42:54,0,"@azcentral @dougducey @SenMcSallyAZ @drcarachrist @SenatorSinema is this what President Trump was talking about when he said, slow down on testing? This is unacceptable! What are you doing to fix this situation?  We deserve better.  Expect a phone call a day until this is fixed. #COVID__19",['covid__19'],"['@azcentral', '@dougducey', '@SenMcSallyAZ', '@drcarachrist', '@SenatorSinema']",president trump talk say slow testing unacceptable fix situation deserve well expect phone call day fix,"{'tones': [{'score': 0.501519, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.820679, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
35,1036,TinyRebelSpy,"psychoticly random, disney, gaming, music, inappropriate, sarcasm & yes i'm that bitch",your imagination,449,245,44422,2008-11-25 00:41:04,2020-06-21 03:13:29,263,"When the President of the United States uses racist terms like Kung Flu, Chinese Virus, or China Plague, my biggest fear as an Asian American is that it normalizes racism against us and there’s no way for us to fight it. We have very little representation in government and media.",[],[],president united state us racist term like kung flu chinese virus china plague big fear asian american normalizes racism there’s way fight little representation government medium,"{'tones': [{'score': 0.552886, 'tone_id': 'fear', 'tone_name': 'Fear'}]}",
36,1037,TBTSTD,"we will be discussing our favorite articles, videos, and quizzes from the fantastic website psych2go","texas, usa",449,49,1628,2017-09-04 13:32:49,2020-06-21 03:33:30,42676,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,"{'tones': [{'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}]}",
37,1038,PaulFinlay20,"positive attitude, funny. #biden2020.                #dumptrump dms asking for money will be blocked.#resister","barrie, ontario",301,295,15394,2019-07-22 04:14:50,2020-06-22 02:14:12,3,"@RealNoahDYoung @Baligubadle1 @realDonaldTrump @JoeBiden -Protecting the 1st = tear gassing peaceful protestors 

-Preventing COVID-19 = ignore it and it’ll go away Slow down testing

-Supporting our law enforcement = promoting brutality

-Best economy in years = 40mil unemployed 

-Protecting the unborn = kids In cages 

 winning?  👎",[],"['@RealNoahDYoung', '@Baligubadle1', '@realDonaldTrump', '@JoeBiden']","protect tear gas peaceful protestors 

-preventing ignore it’ll go away slow testing

-supporting law enforcement promote brutality

-best economy year unemployed 

-protecting unborn kid cage 

 win","{'tones': [{'score': 0.814653, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.770765, 'tone_id': 'confident', 'tone_name': 'Confident'}]}","[{'sentence_id': 0, 'text': 'protect tear gas peaceful protestors ', 'tones': [{'score': 0.553494, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': '-preventing ignore it’ll go away slow testing', 'tones': [{'score': 0.663475, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 3, 'text': '', 'tones': []}, {'sentence_id': 4, 'text': '-supporting law enforcement promote brutality', 'tones': [{'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 5, 'text': '', 'tones': []}, {'sentence_id': 6, 'text': '-best economy year unemployed ', 'tones': [{'score': 0.7756, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 7, 'text': '', 'tones': []}, {'sentence_id': 8, 'text': '-protecting unborn kid cage ', 'tones': [{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 9, 'text': '', 'tones': []}, {'sentence_id': 10, 'text': ' win', 'tones': []}]"
38,1039,mskellymcg,"i will not rest until the moron in chief is out of office because i care about animals, the environment and humanity. #theresistance",ri,944,1104,82579,2014-10-07 02:53:32,2020-06-22 01:20:09,50,"Billionaires in the United States have regained $565B in wealth since the height of the COVID-19 crisis.

Much like in 2008, the wealthy elite is being bailed out while ordinary Americans are sold out.

We need a new stimulus package that helps all those who are struggling.",[],[],"billionaire united state regain wealth since height crisis.

much like wealthy elite bail ordinary american sell out.

we need new stimulus package help struggle","{'tones': [{'score': 0.664175, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': 'billionaire united state regain wealth since height crisis.', 'tones': [{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'much like wealthy elite bail ordinary american sell out.', 'tones': [{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': 'we need new stimulus package help struggle', 'tones': [{'score': 0.729619, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]"
39,1040,Kathlee41146247,n.a,n.a,186,15,452,2020-02-03 18:11:03,2020-06-20 01:56:29,22875,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,"{'tones': [{'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}]}",
