index,username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,mentioned_users,cleaned_text,sentences_tone,document_tones,sadness,joy,tentative,confident,analytical,fear,anger
5018,Serenepwaolcom1,n.a,n.a,601,209,14873,2018-07-21 15:17:54,2020-06-20 02:04:07,0,"POWERFUL INFORMATIVE::::All the proof how trump mishandled Covid-19,  and to this day he stills down plays the viciousness of this virus. https://t.co/p4xprxKOPG",[],[],powerful informative::::all proof trump mishandle day still play viciousness virus,,"[{'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.913755, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,1.0,1.0,,
5019,1271227193t,n.a,n.a,14,0,33,2013-12-03 03:14:09,2020-06-20 03:12:04,0,"@helen99334895 @Lesliec85282235 @lantinglove @Britine2 It was bad because this happened during the early stages of covid 19. When China was already suffering to tell the world about how serious this virus is, and Chinese people overseas already faced a lot of hate.",[],"['@helen99334895', '@Lesliec85282235', '@lantinglove', '@Britine2']",bad happen early stage covid china already suffer tell world serious virus chinese people overseas already face lot hate,,"[{'score': 0.607189, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",1.0,,,,,,
5020,cocolissa_,n.a,home,234,225,4721,2017-04-25 05:17:02,2020-06-22 02:33:52,25008,Lack of taste is a symptom of covid-19 https://t.co/o2txxNFLn3,[],[],lack taste symptom,,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,,1.0,,
5021,wmoran5780,n.a,n.a,97,22,975,2011-11-24 06:22:35,2020-06-23 01:27:02,0,"More than 9 million people confirmed to have COVID-19 around the world, according to Johns Hopkins
  China and liberals inflat the numbers and I don't believe any of them and we have alot of actors all who want Trump out",[],[],"million people confirm around world accord johns hopkins
 china liberal inflat number believe alot actor want trump","[{'sentence_id': 0, 'text': 'million people confirm around world accord johns hopkins', 'tones': [{'score': 0.655321, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': ' china liberal inflat number believe alot actor want trump', 'tones': [{'score': 0.976993, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]","[{'score': 0.513612, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.995548, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.896183, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,1.0,,1.0,,
5022,aug_dutta,"postdoctoral scholar @ ucsf, views are personal",n.a,210,26,1616,2011-06-18 14:53:45,2020-06-21 04:21:28,0,"Why do some COVID-19 patients infect many others, whereas most don’t spread the virus at all? https://t.co/dmp1AygR5B",[],[],patient infect many others whereas don’t spread virus,,"[{'score': 0.931038, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,,1.0,,
5023,daveromaaa,finding jowa,n.a,166,229,8063,2017-07-22 05:15:51,2020-06-21 02:41:42,1000,huhuhu I really miss how life was before the corona virus 🥺👉🏼👈🏼,[],[],huhuhu really miss life corona virus,,"[{'score': 0.88846, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,1.0,,
5024,Subfat52,retired sub. times are not the brightest right now doesn’t feel right ☀️ hoping for a brighter future,in my car retweeting,179,167,98,2018-11-19 14:20:22,2020-06-21 02:43:56,0,@AsteadWesley They didn’t let enough in because of corona virus don’t make me go through your tweets,[],['@AsteadWesley'],didn’t let enough corona virus don’t make go tweet,,[],,,,,,,
5025,heyy_lippy,midwest mama. one of my 🐈 cats is an asshole. i’m happy except when i’m not. i’m old. and tired. never-ever-never-trump. #voteblue #saveamerica #resist 🇺🇸🌻,n.a,1060,676,5656,2011-11-23 19:38:43,2020-06-22 02:11:52,6,"There are still 170 patients hospitalized with COVID-19 in Iowa hospitals, including 53 in intensive care.

14 of those patients were admitted in the last day.

There were also 441 confirmed new cases of COVID-19 reported in Iowa between 10 am June 20 and 10 am June 21.",[],[],"still patient hospitalize iowa hospital include intensive patient admit last day.

there also confirm new case report iowa june june","[{'sentence_id': 0, 'text': 'still patient hospitalize iowa hospital include intensive patient admit last day.', 'tones': [{'score': 0.73908, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.579436, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'there also confirm new case report iowa june june', 'tones': [{'score': 0.741964, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.93534, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]","[{'score': 0.574635, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.94387, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.908592, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,1.0,1.0,,
5026,Mae_notMay,"uic graphic/industrial design, she/her  link to petitions and donations #blm","chicago, il",266,162,2494,2014-11-27 02:35:39,2020-06-22 02:30:11,40547,"Trump had a bad night in Tulsa. Very low turnout. Even his supporters know that COVID-19 is real and dangerous, and should not be spread at an indoor rally. More importantly, maybe people are catching on that he is a pathological liar and a fraud. Let's keep fighting.",[],[],trump bad night tulsa low turnout even supporter know real dangerous spread indoor rally importantly maybe people catch pathological liar fraud let's keep fighting,,"[{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,,,,
5027,NicholasPogson,libertarian socialist. those who do not learn from history are condemed to repeat it. this is the worst possible timeline.(he/him) 1312,mars if i can help it,1017,500,39136,2017-02-01 04:57:13,2020-06-20 01:53:20,22896,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,,"[{'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,1.0,1.0,,
5028,Demosteria,dedicated to countering ridiculous political opposition to our duly elected president and fighting the deep state.   #maga #hillary4prison #obamasaterrorist,"florida, usa",845,328,9738,2018-07-18 12:14:38,2020-06-23 01:28:42,205,"I know good news doesn’t sell and will never make the evening news, but good news: coronavirus deaths continue to fall.  

Daily COVID-19 Deaths in the U.S. Have Fallen Dramatically Since April – https://t.co/1OcLJizCrt https://t.co/GTb5a02Feu",[],[],"know good news doesn’t sell never make even news good news coronavirus death continue fall 

daily death u.s fall dramatically since april","[{'sentence_id': 0, 'text': 'know good news doesn’t sell never make even news good news coronavirus death continue fall ', 'tones': [{'score': 0.502784, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.778622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.532616, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'daily death u.s fall dramatically since april', 'tones': [{'score': 0.742226, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]","[{'score': 0.645183, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.926725, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",1.0,,1.0,,,,
5029,CSurendarjat,n.a,n.a,925,164,7453,2019-03-19 17:34:30,2020-06-21 04:04:03,925,"Food for thought:
""COVID19 means that the Corona Virus has 19 points that can be applied on any country based on their level of immunity"" says Federal Minister for Climate Change. https://t.co/r0D2Jz2z8b",[],[],food mean corona virus point apply country base level immunity say federal minister climate change,,"[{'score': 0.520134, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.72085, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,1.0,,
5030,htTweets,one of india's largest media companies. latest news from around the world. retweets are not endorsements,india,127,7518542,732664,2009-04-29 10:11:34,2020-06-22 02:33:10,3,"57 in state-run women’s rescue home in UP’s Kanpur Covid-19 +ve, 5 of them pregnant

https://t.co/yxn8yRT50v https://t.co/s2QV91RNLm",[],[],"state-run women’s rescue home up’s kanpur pregnant

",,[],,,,,,,
5031,U2Fan1986,the official twitter home of craig baker: jesus follower | @npr junkie | @seahawks | @liverpoolfc | @u2 fanatic. ✝️📢🏈⚽️🎸 check out @grapeandfork too!🍷🍷,a seattlite exiled to florida,1357,91,2469,2018-08-17 17:03:36,2020-06-22 01:17:45,3,"“But a virus does not respect borders. Nor does it discriminate. A truly effective response, not to mention a morally correct one, also must not discriminate” 
Our report calls for the inclusion of #displaced people in the response to #COVID19.

Read more: https://t.co/ILDRXjTOLY",[],[],"“but virus respect border discriminate truly effective response mention morally correct one also must discriminate” 
our report call inclusion people response 

read","[{'sentence_id': 0, 'text': '“but virus respect border discriminate truly effective response mention morally correct one also must discriminate” ', 'tones': [{'score': 0.62863, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.909949, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'our report call inclusion people response ', 'tones': [{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.80026, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 2, 'text': '', 'tones': []}, {'sentence_id': 3, 'text': 'read', 'tones': []}]","[{'score': 0.536965, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.947244, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.983939, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,,1.0,1.0,,
5032,Batman2715,n.a,"mumbai, india",1118,182,141981,2017-03-02 09:40:04,2020-06-21 02:44:57,230,"“Because of the Chinese virus what happened about 3 months ago—it looked like we were in big trouble, and we were and I got it back together.” Trump at Tulsa rally. American media most upset with term 'Chinese virus', calling DT a racist. Also shows the disconnect b/w media &amp; ppl",[],[],“because chinese virus happen month ago—it look like big trouble get back together.” trump tulsa rally american medium upset term chinese virus call dt racist also show disconnect b/w medium amp ppl,"[{'sentence_id': 0, 'text': '“because chinese virus happen month ago—it look like big trouble get back together.”', 'tones': [{'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'trump tulsa rally american medium upset term chinese virus call dt racist also show disconnect b/w medium amp ppl', 'tones': []}]","[{'score': 0.50589, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,,,,
5033,Gomarkusgo,n.a,n.a,205,10,2834,2017-01-06 05:29:41,2020-06-20 01:53:14,22901,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,,"[{'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,1.0,1.0,,
5034,champagnetrace,n.a,uk,117,37,715,2009-10-22 00:10:56,2020-06-22 01:39:34,6109,"Dear @MattHancock,

Do you think it’s right for Health Minister @Helen_Whately to insult 1,000s of student nurses who stepped up to fight Covid-19?

Do you agree that “student nurses are not providing a service”?

Regards,

NHS Million

Please RT if you’d also like an answer https://t.co/9a2Z8nsryW",[],"['@MattHancock,', '@Helen_Whately']","dear 

do think it’s right health minister insult student nurse step fight agree “student nurse provide service”?

regards,

nhs million

please rt you’d also like answer","[{'sentence_id': 0, 'text': 'dear ', 'tones': []}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'do think it’s right health minister insult student nurse step fight agree “student nurse provide service”?', 'tones': [{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 3, 'text': 'regards,', 'tones': []}, {'sentence_id': 4, 'text': '', 'tones': []}, {'sentence_id': 5, 'text': 'nhs million', 'tones': []}, {'sentence_id': 6, 'text': '', 'tones': []}, {'sentence_id': 7, 'text': 'please rt you’d also like answer', 'tones': [{'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]","[{'score': 0.616216, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,,,,
5035,pschubert61,n.a,n.a,20,8,137,2017-01-20 21:19:29,2020-06-20 01:59:03,0,"@realDonaldTrump Is the silent majority the 115,000 deaths from corona virus hat are now silent due to  your ineptitude?",[],['@realDonaldTrump'],silent majority death corona virus hat silent due ineptitude,,"[{'score': 0.766416, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",1.0,,,,,,
5036,maga_cdr,follow for follow only thx served army during nam christian pro-life & #trump #deplorable,"ohio, usa",3725,5156,120948,2011-01-29 18:07:16,2020-06-22 01:39:11,10,The other infectious diseases spreading in the shadow of the pandemic https://t.co/F03ZLkiCGn via @voxdotcom,[],['@voxdotcom'],infectious disease spread shadow pandemic via,,"[{'score': 0.532616, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,,1.0,,
5037,freespirit_08,mom/feminist #pragmaticprogressive 🇺🇸america belongs to we the people☔️resist #nora 🖐#mybodymychoice @momsdemand #ageismnotcool,"❤️in ny, usa, planet 🌎 ",1527,1247,68063,2008-09-08 03:05:01,2020-06-21 03:45:42,747,"Is there no depth to their depravity, their inhumane fuckduggery? It would be impressive if it weren’t so evil. https://t.co/mZyGi7ZPWc",[],[],depth depravity inhumane fuckduggery would impressive weren’t evil,,[],,,,,,,
5038,mrpotter,"teaching hs social studies. history nerd & tech geek. this is me, not my employer. 2000 @rocredwings hof inductee. 2006 @time person of the year.",n.a,648,2152,61364,2007-12-28 01:12:59,2020-06-22 01:19:30,11,"After nearly 2 mos of talking about it, NYS Legislature still not sked hearings to examine high number of Covid deaths at state-regulated nursing homes. Under pressure from rank/file lawmakers, that could change this week - at least in the Senate. https://t.co/qLgDb5TJve",[],[],nearly mos talk nys legislature still sked hearing examine high number covid death state-regulated nursing home pressure rank/file lawmaker could change week least senate,,"[{'score': 0.606369, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.733853, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.632275, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,1.0,,1.0,,
5039,slwiede66,"ovarian cancer warrior, ankylosing spondylitis, fibro. loving life but not politics so much! panda lover! #resistance no dm’s! mom, grandma",western new york,3173,2210,79039,2014-09-10 20:05:29,2020-06-22 02:10:42,277,"We all need to do a “gut check” on whether or not we’ve been slacking off when it comes to taking proper precautions against COVID-19. Social distancing, wearing face coverings &amp; hand washing are just as important today as they were at the height of this pandemic. #lagov #lalege https://t.co/uZ2rILS2aK",[],[],need “gut check” whether we’ve slack come take proper precaution social distance wear face covering amp hand wash important today height pandemic,,[],,,,,,,
